fixture_file,case_id,customer_id,category,message_id
complaint-054.eml,CASE-054,CUST-050,late_delivery,<e86442d3-b5b1-5cb9-81b5-d1c0601fa6d6>
complaint-055.eml,CASE-055,CUST-158,short_delivery,<e1564743-8ca4-542c-8e58-ac8c4a593a7d>
complaint-056.eml,CASE-056,CUST-051,short_delivery,<c127f7ce-1c47-56b0-9c09-9b7d79a5177c>
complaint-057.eml,CASE-057,CUST-104,wrong_quantity,<0916ae82-4776-5705-b1a9-969211e44cbe>
complaint-058.eml,CASE-058,CUST-139,late_delivery,<902a5b79-d3d8-5775-ae20-10bb2249055c>
complaint-059.eml,CASE-059,CUST-170,late_delivery,<840838e0-7c00-5c54-8b18-4bc652d5187d>
complaint-060.eml,CASE-060,CUST-170,late_delivery,<48ffd866-c6fa-54b4-acb3-ddec9fbf1f0b>
complaint-061.eml,CASE-061,CUST-063,short_delivery,<06a91d24-45a4-5690-8ae7-464b08e3d444>
complaint-062.eml,CASE-062,CUST-053,short_delivery,<4cb9deac-fced-51ca-8737-ec09813aaf37>
complaint-063.eml,CASE-063,CUST-115,damaged_items,<c9b4014a-f62f-5243-a65f-56aa736918ae>
complaint-064.eml,CASE-064,CUST-140,late_delivery,<cb908165-ce88-5280-a8c6-81d8f43464d8>
complaint-065.eml,CASE-065,CUST-012,short_delivery,<7d3e0e18-1df0-5c8b-899b-84f883025349>
complaint-066.eml,CASE-066,CUST-080,late_delivery,<68a3e364-0bef-575f-95b3-e8a11171bdc5>
complaint-067.eml,CASE-067,CUST-140,damaged_items,<169c8063-83de-530b-9e00-c565028f4d55>
complaint-068.eml,CASE-068,CUST-155,damaged_items,<9037025b-f59d-51e5-a8ae-606a25347735>
complaint-069.eml,CASE-069,CUST-056,late_delivery,<3350287e-3be1-59af-bedc-e79b1d2b8498>
complaint-070.eml,CASE-070,CUST-149,stained_items,<190b644b-3efb-57da-8dce-25c65d61ad74>
complaint-071.eml,CASE-071,CUST-052,wrong_quantity,<4bc48795-3513-5c23-aefc-292419ef1d85>
complaint-072.eml,CASE-072,CUST-167,damaged_items,<44b6557b-3872-5807-81b4-c75b4588057c>
complaint-073.eml,CASE-073,CUST-036,service_change,<3918c83e-3ecd-51c7-8668-04f45cf8b1a0>
complaint-074.eml,CASE-074,CUST-097,late_delivery,<81b60bfc-4de4-50de-a4d8-a366c63c03af>
complaint-075.eml,CASE-075,CUST-027,short_delivery,<b1a752a7-0be0-5043-babf-228c79d98100>
complaint-076.eml,CASE-076,CUST-028,stained_items,<f5f531a3-d746-5865-93ae-10b21783f607>
complaint-077.eml,CASE-077,CUST-098,short_delivery,<2a64743d-9235-5907-8a5c-6bb074d6b00f>
complaint-078.eml,CASE-078,CUST-083,short_delivery,<f9da3d7e-58c8-52e6-94f1-57a812d6df04>
complaint-079.eml,CASE-079,CUST-147,late_delivery,<79813504-a16c-5c70-837d-d08261893943>
complaint-080.eml,CASE-080,CUST-147,late_delivery,<f9c2ed46-31b7-5893-9013-e49e06ca8853>
complaint-081.eml,CASE-081,CUST-133,service_change,<ad8fca7c-31a8-5cdf-8859-d8e9ca634aab>
complaint-082.eml,CASE-082,CUST-029,late_delivery,<9dafbd8d-0a74-5455-81a1-3da032c577e1>
complaint-083.eml,CASE-083,CUST-014,late_delivery,<0d1e5889-a2e7-5cc4-8ea6-cd0a86cb005e>
complaint-084.eml,CASE-084,CUST-109,late_delivery,<e7f7999e-3e42-5932-ba52-e65489aa92b3>
complaint-085.eml,CASE-085,CUST-005,damaged_items,<6044ba8b-8726-53dc-b48e-57b423c106ea>
complaint-086.eml,CASE-086,CUST-061,short_delivery,<87a0281f-0ee5-5ab1-bb1d-7bab9618ef0c>
complaint-087.eml,CASE-087,CUST-015,short_delivery,<225931ad-04ed-5afa-8140-ff589666b378>
complaint-088.eml,CASE-088,CUST-029,damaged_items,<2229da76-89e5-5969-9250-c6dc7790e098>
complaint-089.eml,CASE-089,CUST-049,late_delivery,<4cf293d9-a604-5328-9dc8-47bc379fbb05>
complaint-090.eml,CASE-090,CUST-036,damaged_items,<776a0b25-585c-5985-a3c1-e18861892b67>
complaint-091.eml,CASE-091,CUST-009,stained_items,<880a0165-576a-52f9-8e07-0fc4de48644c>
complaint-092.eml,CASE-092,CUST-177,damaged_items,<7874c380-6824-5a79-87db-f22d28a81c56>
complaint-093.eml,CASE-093,CUST-111,damaged_items,<1bbecdbd-a254-5f80-a3cb-f84f520d359b>
complaint-094.eml,CASE-094,CUST-107,late_delivery,<dfa71cf3-88c9-5ed3-aefd-e7f2eb276c84>
complaint-095.eml,CASE-095,CUST-090,damaged_items,<fb112236-c372-5961-b4bd-bf6e46dd44bd>
complaint-096.eml,CASE-096,CUST-129,damaged_items,<6a3a0ed7-2587-5c97-ad50-5928c3595923>
complaint-097.eml,CASE-097,CUST-157,billing,<f156e3bd-6779-5519-9cf9-fa34bead28e9>
complaint-098.eml,CASE-098,CUST-166,damaged_items,<0a27858e-ce28-5289-bdac-e54b09c70ad6>
complaint-099.eml,CASE-099,CUST-066,damaged_items,<7f51bc70-c28b-5b43-baf5-7df69bfd50d2>
complaint-100.eml,CASE-100,CUST-066,damaged_items,<ef7067cc-35a1-588b-8361-e4964b320f12>
complaint-101.eml,CASE-101,CUST-160,service_change,<55fb5924-42fb-5474-86df-30c7b08e6df7>
complaint-102.eml,CASE-102,CUST-125,late_delivery,<63a16209-af17-5ed6-bad6-43f5b2b104ef>
complaint-103.eml,CASE-103,CUST-094,late_delivery,<dfbb479f-bc80-5c17-952b-27781500a79f>
complaint-104.eml,CASE-104,CUST-071,late_delivery,<744c49e8-b696-5d80-8e14-ccd3e4f9d726>
complaint-105.eml,CASE-105,CUST-043,wrong_quantity,<9ddced1c-ea9d-5d41-a1c1-3e2c94eacacb>
complaint-106.eml,CASE-106,CUST-127,stained_items,<3dc463cb-0b3b-5e6a-bbb8-1a15684d9767>
complaint-107.eml,CASE-107,CUST-096,short_delivery,<90dfcfbd-f90b-5a67-87c2-93ff17bef6a1>
complaint-108.eml,CASE-108,CUST-147,stained_items,<f88ddd33-c76f-5f0d-ad3e-12bacdcac0f5>
complaint-109.eml,CASE-109,CUST-018,short_delivery,<334064e3-8534-5d5b-99f7-0e397e61f7a3>
complaint-110.eml,CASE-110,CUST-112,damaged_items,<b9791ef9-fcab-5d7b-b35b-abfcd4e8cd21>
complaint-111.eml,CASE-111,CUST-142,stained_items,<bce754f7-adde-5b27-bfe0-ea37ab1bef25>
complaint-112.eml,CASE-112,CUST-060,short_delivery,<08b68ce8-6be4-5dcb-b619-2b7d3eb873ca>
complaint-113.eml,CASE-113,CUST-054,wrong_quantity,<331f3724-c198-5e35-a72a-f41be46d3135>
complaint-114.eml,CASE-114,CUST-147,late_delivery,<d9c4a5c0-7f6c-5615-955a-0d344f224e42>
complaint-115.eml,CASE-115,CUST-051,short_delivery,<de4df671-c365-5156-bb55-77aac021406e>
complaint-116.eml,CASE-116,CUST-064,damaged_items,<7638d519-6f9f-54e0-86f0-cc742b8770cf>
complaint-117.eml,CASE-117,CUST-043,short_delivery,<da2d1850-5bb8-55ce-9af9-f97eabe33dee>
complaint-118.eml,CASE-118,CUST-005,late_delivery,<5eacaa68-5d22-52a8-9b43-46535f539da0>
complaint-119.eml,CASE-119,CUST-136,late_delivery,<5d648b31-dbee-53b1-85bd-772cedea882e>
complaint-120.eml,CASE-120,CUST-136,late_delivery,<a8bd59b8-b9a0-5495-bde2-e57e78cb20e2>
