customer_id,customer_name,venue_type,city,region,delivery_route,service_plan,weekly_deliveries,account_manager,active_since
CUST-103,Restaurant Bristol 103,restaurant,Bristol,South,East,Priority,25,Daniel Brooks,2025-05-15
CUST-104,Restaurant Manchester 104,restaurant,Manchester,North,Central,Essential,32,Elena Rossi,2024-06-15
CUST-105,Restaurant Brighton 105,restaurant,Brighton,South,South,Standard,39,Maya Chen,2025-07-15
CUST-106,Restaurant Leeds 106,restaurant,Leeds,North,West,Priority,46,Tom Alvarez,2024-08-15
CUST-107,Restaurant York 107,restaurant,York,North,North,Essential,9,Priya Shah,2025-09-15
CUST-108,Restaurant Cambridge 108,restaurant,Cambridge,North,East,Standard,16,Daniel Brooks,2024-01-15
CUST-109,Restaurant Oxford 109,restaurant,Oxford,South,Central,Priority,23,Elena Rossi,2025-02-15
CUST-110,Restaurant Bristol 110,restaurant,Bristol,South,South,Essential,30,Maya Chen,2024-03-15
CUST-111,Restaurant Manchester 111,restaurant,Manchester,North,West,Standard,37,Tom Alvarez,2025-04-15
CUST-112,Restaurant Brighton 112,restaurant,Brighton,South,North,Priority,44,Priya Shah,2024-05-15
CUST-113,Restaurant Leeds 113,restaurant,Leeds,North,East,Essential,51,Daniel Brooks,2025-06-15
CUST-114,Restaurant York 114,restaurant,York,North,Central,Standard,14,Elena Rossi,2024-07-15
CUST-115,Restaurant Cambridge 115,restaurant,Cambridge,North,South,Priority,21,Maya Chen,2025-08-15
CUST-116,Restaurant Oxford 116,restaurant,Oxford,South,West,Essential,28,Tom Alvarez,2024-09-15
CUST-117,Restaurant Bristol 117,restaurant,Bristol,South,North,Standard,35,Priya Shah,2025-01-15
CUST-118,Restaurant Manchester 118,restaurant,Manchester,North,East,Priority,42,Daniel Brooks,2024-02-15
CUST-119,Restaurant Brighton 119,restaurant,Brighton,South,Central,Essential,49,Elena Rossi,2025-03-15
CUST-120,Restaurant Leeds 120,restaurant,Leeds,North,South,Standard,12,Maya Chen,2024-04-15
CUST-121,Restaurant York 121,restaurant,York,North,West,Priority,19,Tom Alvarez,2025-05-15
CUST-122,Restaurant Cambridge 122,restaurant,Cambridge,North,North,Essential,26,Priya Shah,2024-06-15
CUST-123,Restaurant Oxford 123,restaurant,Oxford,South,East,Standard,33,Daniel Brooks,2025-07-15
CUST-124,Restaurant Bristol 124,restaurant,Bristol,South,Central,Priority,40,Elena Rossi,2024-08-15
CUST-125,Restaurant Manchester 125,restaurant,Manchester,North,South,Essential,47,Maya Chen,2025-09-15
CUST-126,Restaurant Brighton 126,restaurant,Brighton,South,West,Standard,10,Tom Alvarez,2024-01-15
CUST-127,Restaurant Leeds 127,restaurant,Leeds,North,North,Priority,17,Priya Shah,2025-02-15
CUST-128,Restaurant York 128,restaurant,York,North,East,Essential,24,Daniel Brooks,2024-03-15
CUST-129,Restaurant Cambridge 129,restaurant,Cambridge,North,Central,Standard,31,Elena Rossi,2025-04-15
CUST-130,Restaurant Oxford 130,restaurant,Oxford,South,South,Priority,38,Maya Chen,2024-05-15
CUST-131,Restaurant Bristol 131,restaurant,Bristol,South,West,Essential,45,Tom Alvarez,2025-06-15
CUST-132,Restaurant Manchester 132,restaurant,Manchester,North,North,Standard,8,Priya Shah,2024-07-15
CUST-133,Restaurant Brighton 133,restaurant,Brighton,South,East,Priority,15,Daniel Brooks,2025-08-15
CUST-134,Restaurant Leeds 134,restaurant,Leeds,North,Central,Essential,22,Elena Rossi,2024-09-15
CUST-135,Restaurant York 135,restaurant,York,North,South,Standard,29,Maya Chen,2025-01-15
CUST-136,Restaurant Cambridge 136,restaurant,Cambridge,North,West,Priority,36,Tom Alvarez,2024-02-15
CUST-137,Restaurant Oxford 137,restaurant,Oxford,South,North,Essential,43,Priya Shah,2025-03-15
CUST-138,Restaurant Bristol 138,restaurant,Bristol,South,East,Standard,50,Daniel Brooks,2024-04-15
CUST-139,Restaurant Manchester 139,restaurant,Manchester,North,Central,Priority,13,Elena Rossi,2025-05-15
CUST-140,Restaurant Brighton 140,restaurant,Brighton,South,South,Essential,20,Maya Chen,2024-06-15
CUST-141,Spa Leeds 141,spa,Leeds,North,West,Standard,27,Tom Alvarez,2025-07-15
CUST-142,Spa York 142,spa,York,North,North,Priority,34,Priya Shah,2024-08-15
CUST-143,Spa Cambridge 143,spa,Cambridge,North,East,Essential,41,Daniel Brooks,2025-09-15
CUST-144,Spa Oxford 144,spa,Oxford,South,Central,Standard,48,Elena Rossi,2024-01-15
CUST-145,Spa Bristol 145,spa,Bristol,South,South,Priority,11,Maya Chen,2025-02-15
CUST-146,Spa Manchester 146,spa,Manchester,North,West,Essential,18,Tom Alvarez,2024-03-15
CUST-147,Spa Brighton 147,spa,Brighton,South,North,Standard,25,Priya Shah,2025-04-15
CUST-148,Spa Leeds 148,spa,Leeds,North,East,Priority,32,Daniel Brooks,2024-05-15
CUST-149,Spa York 149,spa,York,North,Central,Essential,39,Elena Rossi,2025-06-15
CUST-150,Spa Cambridge 150,spa,Cambridge,North,South,Standard,46,Maya Chen,2024-07-15
CUST-151,Spa Oxford 151,spa,Oxford,South,West,Priority,9,Tom Alvarez,2025-08-15
CUST-152,Spa Bristol 152,spa,Bristol,South,North,Essential,16,Priya Shah,2024-09-15
CUST-153,Spa Manchester 153,spa,Manchester,North,East,Standard,23,Daniel Brooks,2025-01-15
CUST-154,Spa Brighton 154,spa,Brighton,South,Central,Priority,30,Elena Rossi,2024-02-15
CUST-155,Spa Leeds 155,spa,Leeds,North,South,Essential,37,Maya Chen,2025-03-15
CUST-156,Spa York 156,spa,York,North,West,Standard,44,Tom Alvarez,2024-04-15
CUST-157,Spa Cambridge 157,spa,Cambridge,North,North,Priority,51,Priya Shah,2025-05-15
CUST-158,Spa Oxford 158,spa,Oxford,South,East,Essential,14,Daniel Brooks,2024-06-15
CUST-159,Spa Bristol 159,spa,Bristol,South,Central,Standard,21,Elena Rossi,2025-07-15
CUST-160,Spa Manchester 160,spa,Manchester,North,South,Priority,28,Maya Chen,2024-08-15
CUST-161,Spa Brighton 161,spa,Brighton,South,West,Essential,35,Tom Alvarez,2025-09-15
CUST-162,Spa Leeds 162,spa,Leeds,North,North,Standard,42,Priya Shah,2024-01-15
CUST-163,Spa York 163,spa,York,North,East,Priority,49,Daniel Brooks,2025-02-15
CUST-164,Spa Cambridge 164,spa,Cambridge,North,Central,Essential,12,Elena Rossi,2024-03-15
CUST-165,Spa Oxford 165,spa,Oxford,South,South,Standard,19,Maya Chen,2025-04-15
CUST-166,Spa Bristol 166,spa,Bristol,South,West,Priority,26,Tom Alvarez,2024-05-15
CUST-167,Spa Manchester 167,spa,Manchester,North,North,Essential,33,Priya Shah,2025-06-15
CUST-168,Spa Brighton 168,spa,Brighton,South,East,Standard,40,Daniel Brooks,2024-07-15
CUST-169,Spa Leeds 169,spa,Leeds,North,Central,Priority,47,Elena Rossi,2025-08-15
CUST-170,Spa York 170,spa,York,North,South,Essential,10,Maya Chen,2024-09-15
CUST-171,Spa Cambridge 171,spa,Cambridge,North,West,Standard,17,Tom Alvarez,2025-01-15
CUST-172,Spa Oxford 172,spa,Oxford,South,North,Priority,24,Priya Shah,2024-02-15
CUST-173,Spa Bristol 173,spa,Bristol,South,East,Essential,31,Daniel Brooks,2025-03-15
CUST-174,Spa Manchester 174,spa,Manchester,North,Central,Standard,38,Elena Rossi,2024-04-15
CUST-175,Spa Brighton 175,spa,Brighton,South,South,Priority,45,Maya Chen,2025-05-15
CUST-176,Spa Leeds 176,spa,Leeds,North,West,Essential,8,Tom Alvarez,2024-06-15
CUST-177,Spa York 177,spa,York,North,North,Standard,15,Priya Shah,2025-07-15
CUST-178,Spa Cambridge 178,spa,Cambridge,North,East,Priority,22,Daniel Brooks,2024-08-15
CUST-179,Spa Oxford 179,spa,Oxford,South,Central,Essential,29,Elena Rossi,2025-09-15
CUST-180,Spa Bristol 180,spa,Bristol,South,South,Standard,36,Maya Chen,2024-01-15
